,Facebook_Handle,Language_1_2_3
0,chineseconsulatesf,[['English']]
1,ChinaConsulateCHGO,[['English']]
2,ChineseConsulateLA,[['English']]
3,chinaconsulNY,[['English']]
4,cgtnarabic,[['Arabic']]
5,peoplearabic,[['Arabic']]
6,criarabic1,[['Arabic']]
7,ChinaorgcnArabic,[['Arabic']]
8,konfuziusinstitut  · College & University,"[['German'], [nan]]"
9,Confucius Institute at MSLU - Public Group,"[[nan], [nan]]"
10,confuciusbntu  · Education,"[[nan], [nan]]"
11,CIRAC.edu · Public & government service,"[[nan], [nan]]"
12,Konfuzius-Institut Bremen - Nonprofit Organization,"[['German'], [nan]]"
13,konfuziusinstitutBonn  · Language School,"[['German'], [nan]]"
14,akigoettingen  · College & University,"[['German'], [nan]]"
15,KonfuziusInstitutMetropoleRuhr  · Nonprofit Organization,"[['German'], [nan]]"
16,Konfuzius-Institut Düsseldorf - Nonprofit Organization,"[['German'], [nan]]"
17,KonfuziusInstitutFrankfurt  · Nonprofit Organization,"[['German'], [nan]]"
18,konfuziusinstituthamburg  · Nonprofit Organization,"[['German'], [nan]]"
19,leibniz.konfuzius,"[['German'], [nan]]"
20,konfuziusinstitutleipzig  · Cultural Center,"[['German'], [nan]]"
21,KonfuziusInstitutTrier  · College & University,"[['German'], [nan]]"
22,Konfuzius-Institut an der Universität Heidelberg e. V. - Campus Building,"[['German'], [nan]]"
23,Konfuzius-Institut an der Universität Freiburg e.V. - Community,"[['German'], [nan]]"
24,ConfuciusInstituteMunich  · Language School,"[['German'], [nan]]"
25,Konfuzius-Institut Paderborn - Nonprofit Organization,"[['German'], [nan]]"
26,audikonfuziusinstitutingolstadt  · Performance & Event Venue,"[['German'], [nan]]"
27,Konfuzius Institut Stralsund - Nonprofit Organization,"[['German'], ['English']]"
28,KonfuziusInstitutNuernbergErlangen  · Nonprofit Organization,"[['German'], [nan]]"
29,工学院大学孔子学院-213615678678992 · College & University,"[['Japanese'], [nan]]"
30,icmoldova  · Community College,"[['Romanian'], [nan]]"
31,confucius.info,"[['Russian'], [nan]]"
32,knlukongzixueyuan Community College,"[['Russian'], [nan]]"
33,ConfuciusMCR · Nonprofit Organization,"[['English'], [nan]]"
34,BrookesConfuciusInstitute · Language School,"[['English'], [nan]]"
35,CIScotland · Nonprofit Organization,"[['English'], [nan]]"
36,SCIBC · Education,"[['English'], [nan]]"
37,SheffieldCI · Nonprofit Organization,"[['English'], [nan]]"
38,BCIUL · Campus Building,"[['English'], [nan]]"
39,UCLIOEConfuciusInstitute · School,"[['English'], [nan]]"
40,SotonCI · College & University,"[['English'], [nan]]"
41,confuciusinstituteaberdeen · Community,"[['English'], [nan]]"
42,CIBLLSE · Education,"[['English'], [nan]]"
43,LancsUniCI · Local Business,"[['English'], [nan]]"
44,ConfuciusInstitute4TCM · College & University,"[['English'], [nan]]"
45,nottinghamci · Nonprofit Organization,"[['English'], [nan]]"
46,CardiffConfuciusInstitute · School,"[['English'], [nan]]"
47,UCLanConfuciusInstitute · Campus Building,"[['English'], [nan]]"
48,confuciusheritage · Language School,"[['English'], [nan]]"
49,CIatGlasgowUni · School,"[['English'], [nan]]"
50,cissstrathclyde · College & University,"[['English'], [nan]]"
51,bangorconfuciusinstitute · Educational Research Center,"[['English'], [nan]]"
52,hullconfuciusinstitute · Community College,"[['English'], [nan]]"
53,QMULCI · College & University,"[['English'], [nan]]"
54,wmconfuciusinstitute · College & University,"[[nan], [nan]]"
55,chinainstitute · Nonprofit Organization,"[[nan], [nan]]"
56,ConfuciusInstituteAtMichiganStateUniversity · Language School,"[[nan], [nan]]"
57,us.china.institute.bryantuniversity · Education,"[[nan], [nan]]"
58,UCLA.CI · Nonprofit Organization,"[[nan], [nan]]"
59,ciucdavis · Education,"[[nan], [nan]]"
60,PortlandState.Confucius.Institute · College & University,"[[nan], [nan]]"
61,CCDEdu · Campus Building,"[[nan], [nan]]"
62,confuciusunl · College & University,"[[nan], [nan]]"
63,ciwsu · Language School,"[[nan], [nan]]"
64,cirutgers · Nonprofit Organization,"[[nan], [nan]]"
65,ucaci2008 · Nonprofit Organization,"[[nan], [nan]]"
66,UWPlattevilleConfuciusInstitute · Public & Government Service,"[[nan], [nan]]"
67,troyci · Community,"[[nan], [nan]]"
68,ciecoesc · Public & Government Service,"[[nan], [nan]]"
69,CentralConnecticutStateUniversity · College & University,"[[nan], [nan]]"
70,tsucitx · College & University,"[[nan], [nan]]"
71,websteru · College & University,"[[nan], [nan]]"
72,GSUConfuciusInstitute · Public & Government Service,"[[nan, nan], [nan, nan]]"
73,UniversityofAkron · College & University,"[[nan], [nan]]"
74,clevelandstateuniversity · College & University,"[[nan], [nan]]"
75,exploreutci · Language School,"[[nan], [nan]]"
76,CIatAlfred · Education,"[[nan], [nan]]"
77,TheConfuciusInstituteAtStonyBrookUniversity · College & University,"[[nan], [nan]]"
78,PresbyterianCollege · College & University,"[[nan], [nan]]"
79,WMUInternationl · College & University,"[[nan], [nan]]"
80,GWConfucius · School,"[[nan], [nan]]"
81,CIatWesleyan · College & University,"[[nan], [nan]]"
82,NCCCIB · Language School,"[[nan], [nan]]"
83,ubconfucius · College & University,"[[nan], [nan]]"
84,UKconfucius · College & University,"[[nan], [nan]]"
85,cinstitute · Campus Building,"[[nan], [nan]]"
86,CITUFTS · Nonprofit Organization,"[[nan], [nan]]"
87,ConfuciusInstituteNJCU · Educational Research Center,"[[nan], [nan]]"
88,savannahstate · College & University,"[[nan], [nan]]"
89,CIUNCCharlotte · Education,"[[nan], [nan]]"
90,ciwky · Nonprofit Organization,"[[nan], [nan]]"
91,cccsdsu · College & University,"[[nan], [nan]]"
