Suggested Themes,Count_Of_Twitter,Count_Of_Facebook,Total
Covid-19,94,182,276
Health,93,175,268
China and the World,80,131,211
Chinese culture and people,103,106,209
Cultural Diplomacy,96,73,169
Diplomacy,73,73,146
Education,62,44,106
Politics,46,53,99
Economy,51,46,97
Covid-19 Diplomacy,25,45,70
Countering negative news on China,24,42,66
Confucius Institutes,54,7,61
Chinese leadership appearances and messaging,27,33,60
Foreign news coverage,57,2,59
Cooperation,29,26,55
Anti-US,25,29,54
Turning messages back on US/West,20,31,51
Motivational speaking?,19,30,49
China-US relations,21,27,48
Social involvement in the local community?,39,6,45
China's relations with African countries,11,33,44
Development/aid,12,28,40
Chinese economic development,19,19,38
Hong Kong,20,16,36
Xi Jinping,20,16,36
Tourism,10,22,32
Chinese festivals,16,15,31
Trade,15,13,28
Technology,16,11,27
China's relations with the UK,24,2,26
National security?,10,14,24
Food Diplomacy,12,10,22
China's relations with the EU,11,11,22
Businesses,16,6,22
China's relations with neighbours,16,5,21
China-Asia-Pacific relations?,14,6,20
China's relations with the UN,9,11,20
Ethnic minorities,9,11,20
Security?,9,11,20
Chinese history,8,10,18
Society?,9,9,18
Military,11,6,17
Covid-19 preventive measures?,16,0,16
Human rights,5,9,14
Xinjiang,5,9,14
Disinformation,7,7,14
Foreign interference?,4,9,13
Space exploration/tech/progress,7,6,13
Wuhan,8,5,13
Businesses?,9,4,13
Infrastructure,9,4,13
Industry?,8,5,13
Space,7,5,12
Nature?,8,4,12
Environmental protection,3,8,11
Chinese political system,8,3,11
Wildlife,5,6,11
Sentimental messaging?,6,5,11
Treatment of minorities in US,3,7,10
Nature,5,4,9
Chinese multinationals,4,4,8
Sport?,8,0,8
Foreign media coverage of China,1,7,8
Scientific development,2,6,8
Uighurs,2,6,8
Religion?,2,6,8
Security,3,4,7
Environment,3,4,7
Tibet,3,4,7
Poverty alleviation,3,4,7
Multilateralism,1,5,6
Trains,1,5,6
Travel to China,2,4,6
Finance?,3,2,5
Taiwan,2,3,5
China-Asia-Pacific relations,5,0,5
Energy,3,2,5
Allies,4,1,5
Media,4,1,5
Foreign interference,5,0,5
National security,5,0,5
5G,2,3,5
Belt and Road initiative (BRI),2,2,4
Racial disharmony in US,1,3,4
Cybersecurity,1,3,4
Black Lives Matter,1,3,4
Finances,4,0,4
Legal?,2,2,4
China's soft power,2,2,4
Sustainable Development,1,2,3
Gender?,2,1,3
N Korea,3,0,3
Huawei,2,1,3
Internet,3,0,3
Countering negatives news on China,3,0,3
Industry,3,0,3
E-Commerce?,1,1,2
China's relations with the Middle East?,1,1,2
Chinese leadership messaging and appearances,1,1,2
Media freedom,1,1,2
Historical injustices towards China,2,0,2
Olympics?,2,0,2
Animal conservation?,2,0,2
Democracy,1,1,2
Artificial intelligence,2,0,2
Territorial disputes,1,1,2
US election,2,0,2
Freedom of speech,1,1,2
China and the EU,1,1,2
China's relations with Arab countries,1,1,2
Belt and Road Initiative,1,1,2
China's relations with the Middle East? Covid-19 preventive measures?,1,0,1
China-Asia-Pacific reations? Covid-19 preventive measures?,1,0,1
China relations with the Middle East?,1,0,1
Xi Jingping,1,0,1
Chinese and the world,1,0,1
Foreign interferencee,1,0,1
Foreign inteference?,1,0,1
Travel to China? Covid-19 preventive measures?,1,0,1
Protests,1,0,1
Crime?,1,0,1
China and the UN,1,0,1
Covid-19 preventive measures,1,0,1
Denuclearisation,1,0,1
Scientific development?,1,0,1
"Economy,Businesses",1,0,1
Finance? Covid-19 preventive measures?,1,0,1
Motivational speaking? Covid-19 preventive measures?,1,0,1
??,1,0,1
Sport,1,0,1
Wildlife protection,1,0,1
Modernisation,1,0,1
Trump?,1,0,1
China-Asia-Pacific relations? Covid-19 preventive measures?,1,0,1
Chinese leadership appearances and messagiing,1,0,1
China's relations wth the UN,1,0,1
Turning back messages on US/West,1,0,1
Foreign Interference?,1,0,1
China-Asia-Pacific Relations?,1,0,1
Sport? Covid-19 preventive measures?,1,0,1
Internet?,1,0,1
