"crowdtangle.account/id","crowdtangle.account/handle","crowdtangle.account/name"
"12773058","CIatAlfred","Confucius Institute at Alfred University"
"12773059","confuciusinstituteaberdeen","Confucius Institute Aberdeen"
"12773057","ciucdavis","Confucius Institute at UC Davis"
"12773062","audikonfuziusinstitutingolstadt","Audi Konfuzius-Institut Ingolstadt"
"12773061","chinaconsulNY","Chinese Consulate General in New York"
"12773066","CIatGlasgowUni","Confucius Institute at the University of Glasgow"
"13261761","chineseembtoyemen","Chinese Embassy to Yemen"
"12773065","cissstrathclyde","Confucius Institute for Scotland's Schools"
"12773071","UCLIOEConfuciusInstitute","Confucius Institute at the UCL Institute of Education, London"
"10086039","ChinaEmbTurkey","Çin Büyükelçiliği Ankara/Chinese Embassy in Turkey"
"12773068","ConfuciusInstituteAtMichiganStateUniversity","Confucius Institute at Michigan State University"
"12773069","CIBLLSE","Confucius Institute for Business London LSE"
"12773075","us.china.institute.bryantuniversity","Bryant University U.S.-China Institute"
"12773073","CIScotland","Confucius Institute for Scotland"
"3701035","ChinaConsulateCHGO","Consulate General of the People's Republic of China in Chicago"
"2507058","paukphawfriendship","Chinese Embassy in Myanmar"
"12773079","CardiffConfuciusInstitute","Cardiff Confucius Institute"
"12773080","ciwsu","Confucius Institute at Wayne State University"
"12773081","hullconfuciusinstitute","Confucius Institute at University of Hull"
"12773086","cinstitute","Confucius Institute at UD"
"9923466","","Consulate General of the People's Republic of China in Christchurch"
"12773084","ciecoesc","Confucius Institute at East Central Ohio ESC"
"12773085","QMULCI","Confucius Institute at Queen Mary University of London"
"12773090","CIatWesleyan","Confucius Institute at Wesleyan College"
"12753379","ambchineburkina","Ambassade de Chine au Burkina Faso"
"12773091","CITUFTS","Confucius Institute at Tufts University"
"12773092","ConfuciusInstituteNJCU","Confucius Institute at New Jersey City University"
"7689566","chinainstitute","China Institute in America"
"40750","XinhuaNewsAgency","China Xinhua News"
"9859748","chinaembmy","China Embassy in Malaysia"
"12514436","","China Xinhua Urdu"
"80703","ChinaGlobalTVNetwork","CGTN"
"80702","CCTV.CH","CCTV 中文"
"9720273","AmbChineNiamey","Ambassade de Chine à Niamey"
"2160997","ChineseEmbinUK","Chinese Embassy in UK"
"11445989","ChineseconsulateErbil","Consulate General of China in Erbil"
"11325667","Ambasada.Chinei.in.Moldova","Ambasada Chinei in Republica Moldova"
"1968712","cgtnenespanol","CGTN en Español"
"9736137","ChineseConsulateLA","Consulate General of the People's Republic of China in Los Angeles"
"12773030","confuciusbntu","Confucius Technic"
"12773031","SheffieldCI","Confucius Institute at the University of Sheffield"
"12511700","chinaembmongolia","Chinese Embassy in Mongolia"
"12773032","NCCCIB","Confucius Institute for Business at SUNY"
"12773033","ConfuciusInstitute4TCM","Confucius Institute for Traditional Chinese Medicine, London"
"12773036","ciwky","Confucius Institute of Western Kentucky"
"12773043","ChinaEmbAddis","Chinese Embassy in Ethiopia"
"12773040","confuciusheritage","Confucius Institute for Heritage at UWTSD"
"12900023","ChineseEmbassyinMalawi","Chinese Embassy in Malawi"
"11445979","ambchinetchad","Ambassade de Chine au Tchad"
"11154140","","Ambassade de Chine en Algérie"
"11445974","AMBASSADEDECHINEENCOTEDIVOIRE","Ambassade de Chine en Côte d’Ivoire 中国驻科特迪瓦使馆"
"85881","chinadaily","China Daily"
"301437","CGTNFrancais","CGTN Français"
"12773048","akigoettingen","Akademisches Konfuzius-Institut Göttingen"
"11445972","AmbChineCmr","Ambassade de Chine au Cameroun"
"301439","ChinaorgcnArabic","China.org.cn"
"418424","chineseconsulatesf","Consulate General of China in San Francisco"
"12599876","ChinaInIceland","Chinese Embassy in Iceland"
"11010081","ChinaInNorway","Chinese Embassy in Norway"
"9741826","chinaembnl","Chinese Embassy in the Netherlands"
"11183626","ChinaEmbNepal","Chinese Embassy in Nepal"
"11183627","ChinainAus","Chinese Embassy in Australia"
"8457248","ChinaEmbassyManila","Chinese Embassy Manila"
"11183624","ChineseEmbassyinIsrael","Chinese Embassy in Israel"
"15025991","ConfuciusInstituteAtTroyUniversity","Confucius Institute at Troy University"
"11183631","ChinaEmbPoland","Chinese Embassy in Poland"
"11183628","ChineseEmbassyInRus","Chinese Embassy in Russia 中国驻俄罗斯大使馆"
"11183629","ChineseEmbassyInNigeria","Chinese Embassy in Nigeria"
"11183618","chinaembua","Chinese Embassy in Ukraine 中华人民共和国驻乌克兰大使馆"
"11183619","ChineseEmbassyinBangkok","Chinese Embassy Bangkok สถานเอกอัครราชทูตสาธารณรัฐประชาชนจีนประจำประเทศไทย"
"15025999","consulategeneralchina","Chinese Consulate General in Davao"
"11183617","ChineseEmbassyCambodia","Chinese Embassy in Cambodia-中华人民共和国驻柬埔寨王国大使馆"
"11183622","ChineseEmbassyinAfghanistanDari","Chinese Embassy in Afghanistan_Dari"
"15025993","ChinaEmbSL","Chinese Embassy in Sri Lanka"
"11183623","","Chinese Embassy in Pakistan"
"15025992","","Confucius Institute at UNCC"
"15025994","ChinaXinhuapashto","China Xinhua Pashto"
"11183642","","Chinese Embassy in Kenya"
"11183640","chineseembassyiniraq1","China Embassy-Baghdad"
"9898532","ChineseEmbPNG","Chinese Embassy in PNG"
"11183647","chinaemb.ss","Chinese Embassy in South Sudan"
"15026002","","Ambassade de Chine au Gabon"
"11183645","ChinaEmbHungary","Chinese Embassy in Hungary"
"9311542","AmbassadeChine","Ambassade de Chine en France"
"11183635","ChineseEmbassyinGuyana","Chinese Embassy in Guyana"
"11183632","www.chinaembassy.org.zw","Chinese Embassy in Zimbabwe"
"11183633","","Chinese Embassy in Sierra Leone"
"11183638","ChineseEmbassyCyprus","Chinese Embassy in Cyprus"
"11183636","Chinese.Emb.Uga","Chinese Embassy in Uganda"
"9732139","AmbassadedeChineenTunisie","Ambassade de Chine en Tunisie سفارة الصين بتونس"
"11183637","chinaembgm","Chinese Embassy in The Gambia"
"2181612","chinainsa","Chinese Embassy in South Africa"
"11096697","chinaembassy.cz","Chinese Embassy in Prague （Velvyslanectví Čínské lidové republiky）"
"14956085","AmbChineMdg","Ambassade de Chine à Madagascar"
"1914316","cgtnarabic","CGTN Arabic"
"14722099","ChinaembassyT","Chinese Embassy in Albania"
"14837308","ChineseEmbinTT","Chinese Embassy in Trinidad and Tobago"
"126949","cgtnamerica","CGTN America"
"126952","cgtnafrica","CGTN Africa"
"11547231","chinaembcongobz","Ambassade de la République populaire de Chine en République du Congo"
"12773063","ConfuciusMCR","The Confucius Institute at The University of Manchester"
"12773060","SotonCI","南安普顿大学孔子学院Confucius Institute, University of Southampton"
"12773067","KonfuziusInstitutMetropoleRuhr","Konfuzius-Institut Metropole Ruhr e.V."
"4294856","exploreutci","UToledo Confucius Institute"
"11360676","chinaembmyCN","中国驻马来西亚大使馆"
"12773064","chineseembassyinestonia","Embassy of the People's Republic of China in the Republic of Estonia"
"12773070","UWPlattevilleConfuciusInstitute","UW-Platteville Confucius Institute"
"9753241","AmbasadaChineiinRomania","中国驻罗使馆Ambasada Chinei"
"11609505","ChinaEmbKSA","Embassy of The People's Republic of China in the Kingdom of Saudi Arabia"
"12773074","ConfuciusInstituteMunich","Konfuzius-Institut München 慕尼黑孔子学院"
"12773072","BCIUL","The Business Confucius Institute at the University of Leeds, 利兹大学商务孔子学院"
"11609507","chineseembassyinbulgaria","中国驻保加利亚大使馆 Embassy of China in Bulgaria"
"12773078","bangorconfuciusinstitute","Sefydliad Confucius Bangor Confucius Institute"
"804376","peoplearabic","صحيفة الشعب اليومية"
"2852029","ChineseEmbassyinUS","Embassy of The People's Republic of China in the United States"
"12773077","konfuziusinstitutBonn","Konfuzius-Institut Bonn e.V."
"12773082","konfuziusinstituthamburg","Konfuzius-Institut Hamburg"
"12721243","","Konfuzius-Institut Bremen"
"12773083","UCLanConfuciusInstitute","UCLan Confucius Institute"
"12721246","","Konfuzius-Institut Paderborn"
"12721247","","Konfuzius-Institut Düsseldorf"
"12773087","UKconfucius","University of Kentucky Confucius Institute"
"12721244","","Konfuzius Institut Stralsund"
"12721245","","Konfuzius-Institut an der Universität Freiburg e.V."
"9988793","ChineseEmbassyinSudan","中国驻苏丹大使馆السفارة الصينية في السودان"
"12721248","","Konfuzius-Institut an der Universität Heidelberg e. V."
"10421437","konfuziusinstitutleipzig","Konfuzius-Institut Leipzig"
"12773088","nottinghamci","Nottingham Confucius Institute"
"11183625","ChineseEmbassyinNamibia","Embassy of the People's Republic of China in the Republic of Namibia"
"12773089","tsucitx","Texas Southern University Confucius Institute"
"11183630","EmbassyofChinainTimorLeste","Embassy of China in Timor-Leste"
"7890653","Chinaemb.SG","中国驻新加坡大使馆 Embassy of the People's Republic of China in Singapore"
"863147","criarabic1","CRIarabic"
"11072526","ChineseEmbassyinGeorgia","Embassy of The People's Republic of China in Georgia"
"15025997","GSUConfuciusInstitute","Georgia State University Confucius Institute"
"11975454","KonfuziusInstitutNuernbergErlangen","Konfuzius-Institut Nürnberg-Erlangen"
"12575767","TalkItOutWithLiJingjing","Talk it Out with Li Jingjing"
"15025996","ChinaConsulAlex","中国驻亚历山大总领馆 Chinese Consulate General in Alexandria"
"15025998","ChnConsul.osaka","中華人民共和国駐大阪総領事館"
"11183620","chinaembassynmk","Embassy of the People's Republic of China in North Macedonia"
"15025995","jejuZLG","주제주중국총영사관中国驻济州总领事馆"
"11183643","ChinainLebanon","中国驻黎巴嫩大使馆 Chinese Embassy in Lebanon"
"11183641","ChineseEmbassyinBB","Embassy of the People's Republic of China in Barbados"
"15026001","ChinaConsAuckland","Consulate-General of the People's Republic of China in Auckland"
"11183646","ChineseEmbassyInNZ","Embassy of the People's Republic of China in New Zealand"
"15026000","","Consulate General of the People's Republic of China in Penang"
"11183644","bw.chineseembassy","中国驻博茨瓦纳大使馆 Chinese Embassy in Botswana"
"15026003","","中国驻立陶宛大使馆 Embassy of the People's Republic of China in Lithuania"
"11183634","tz.chineseembassy","Embassy of China in Tanzania"
"11183639","ChineseEmbinEgypt","中国驻埃及大使馆السفارة الصينية في مصر"
"12753154","chinaemb.by","中国驻白俄罗斯大使馆"
"11590001","ChineseEmbassyinIndonesia","Embassy of China in Indonesia"
"479168","BEEmbassyChina","Embassy of Belgium in China"
"12753157","Chinaembbn","Embassy of the People's Republic of China in Brunei Darussalam"
"4102265","PortlandState.Confucius.Institute","Portland State University Confucius Institute"
"11445988","","Embassy of The People's Republic of China in Kiribati"
"9360194","chinaembd","Embassy of the People's Republic of China in Bangladesh"
"2292590","xinhuahindinews","Xinhua Hindi"
"525764","peopledaily","人民日報"
"11076324","ChinaEUMission","Mission of China to the EU"
"11445987","chinaandsamoa","中国驻萨摩亚使馆 Chinese Embassy in Samoa"
"11445984","chinaembajada","Embajada de China en Colombia"
"11445985","EmbajadaChinaSV","Embajada China SV"
"13432092","","人民日報香港"
"41686","PeoplesDaily","People's Daily, China"
"12773034","KonfuziusInstitutFrankfurt","Konfuzius-Institut Frankfurt"
"12773035","LancsUniCI","Lancaster University Confucius Institute"
"2280009","cnchinadaily","中国日报"
"9923452","ChineseConsulateinHCM","中国驻胡志明市总领馆 Tổng Lãnh sự quán Trung Quốc tại HCMC China Consul General HCMC"
"12773038","SCIBC","Scottish Confucius Institute for Business and Communication"
"12773039","wmconfuciusinstitute","William & Mary Confucius Institute"
"12773037","icmoldova","Institutul Confucius ULIM"
"12773042","konfuziusinstitut","Konfuzius-Institut an der Universität Wien"
"11445983","AmbChineMali","中国驻马里大使馆-Ambassade de Chine au Mali"
"9867877","EmbajadaChinaCostaRica","Embajada China en CR"
"12773041","CIRAC.edu","វិទ្យាស្ថានខុងជឺនៃរាជបណ្ឌិត្យសភាកម្ពុជា CIRAC  柬埔寨皇家科学院孔子学院"
"11445978","ChinaEmbAngola","Embaixada da China em Angola"
"12773046","cccsdsu","SDSU Chinese Cultural Center"
"12774326","","中国驻毛里塔尼亚使馆Ambassade de Chine en Mauritanieالسفارة الصينية لدى موريتانيا"
"12773047","ucaci2008","UCA Confucius Institute"
"12222415","spoxwangwenbin","Wang Wenbin 汪文斌"
"12773044","GWConfucius","GW Confucius Institute"
"11445976","ChinaEmbSVK","中国驻斯洛伐克使馆 Čínske veľvyslanectvo na Slovensku"
"12773045","EmbassyofChinainLatvia","Embassy of the People's Republic of China in the Republic of Latvia"
"12774709","","工学院大学孔子学院"
"12773050","TheConfuciusInstituteAtStonyBrookUniversity","The Confucius Institute at Stony Brook University"
"12773051","BrookesConfuciusInstitute","Oxford Confucius Institute"
"9519464","ChineseEmbassyinHanoi","中国驻越南大使馆-Đại sứ quán Trung Quốc tại Hà Nội-Chinese Embassy in Hanoi"
"11360727","kr.chinaembassy","中国驻韩国大使馆 / 주한중국대사관"
"12773049","UCLA.CI","UCLA Confucius Institute"
"12240705","Chinaemb.Jordan","中国驻约旦使馆 السفارة الصينية في الأردن"
"12773054","ubconfucius","University at Buffalo Confucius Institute"
"12773055","KonfuziusInstitutTrier","Konfuzius-Institut der Universität Trier"
"12773053","knlukongzixueyuan","Інститут Конфуція КНЛУ 基辅国立语言大学孔子学院"
